origin_x,origin_y,destination_x,destination_y
656742.8610664561,6853652.515921397,651139.1165786552,6862934.296801466
655014.7487180473,6854628.393881154,651026.6145146105,6862919.008735624
654412.5539977903,6853861.188560911,651180.0307870437,6863083.948481027
654324.8748601155,6852696.78461799,651344.2996293405,6862281.211032417
655608.2308284271,6853690.446010784,651054.780074991,6862527.979057946
655846.3398793051,6855669.410621835,651127.6186541764,6862489.720806894
657170.2049990642,6853850.46733125,651675.8324946582,6862676.085762983
656045.588316653,6854804.640935322,651363.986047707,6862792.545936731
656586.8432082916,6853759.659956835,651577.8830428921,6862521.399975616
654273.6036981237,6854561.219987889,652267.4400898323,6862641.446204138
654639.3418184618,6854687.431816806,651271.1017096833,6862309.9076595185
655854.1792061249,6855522.739780169,651818.7129735334,6862869.462647839
655395.2676218482,6853774.5851331735,651275.8653242304,6862548.700303496
654380.3242621535,6855570.176646412,651281.0721448574,6862559.046886412
655924.9818300445,6853691.032030297,650621.9884942592,6863191.053829266
654246.5845367863,6853431.841039951,650830.7732071972,6862588.628053828
655906.6899451572,6855979.936384337,650606.4823182203,6862643.88888096
655565.5194051038,6853068.850633943,652074.4137124072,6862806.977025443
655683.6011621007,6853918.890730305,651188.0117955388,6862440.935025417
656785.5210537364,6853482.416921154,650581.3727595462,6863049.42323213
656407.1704034815,6856301.786213775,651722.4857817005,6862392.692191256
654081.0023406261,6853022.862895574,650720.8836166227,6863402.42298241
656032.2785553456,6855599.201007957,650992.7729380141,6863087.653116977
656114.7308940256,6855107.581132243,651950.7133003831,6862422.999644987
656883.4159837052,6853662.937389538,651330.6249907737,6862540.53621284
653891.4617383435,6852650.338606301,650840.5465527556,6862814.619872375
655370.6331667893,6854712.835947683,651693.1403637836,6862269.64880699
653713.662460166,6853331.02130056,650504.2607850747,6862856.359964322
656496.8820317044,6853130.326605478,651354.3348323334,6862486.143194635
654971.8433781768,6854366.104312377,651485.3235133998,6862293.764470014
656931.1595296324,6854279.641584757,650669.7813765964,6862535.641530811
654737.4989475993,6853972.522385518,650679.6197249084,6863322.528715514
654907.7500725357,6854818.910277959,650886.4787534532,6862544.672378303
655630.781128798,6855621.62241337,652119.2434990394,6862747.326202282
655127.8764068241,6854829.843769062,651305.731280294,6862850.257277402
656228.7082414258,6856184.386970339,650923.2096930535,6863070.176704405
657008.9484744084,6854245.571733462,651379.8550757165,6862544.805233613
656848.1268774759,6855341.016625494,650339.1438010326,6862827.129567802
657186.4543305279,6854874.383369442,651069.3282938739,6862363.596066611
656833.8189956688,6855325.02199295,651106.6639272409,6862848.421604772
655772.5350743318,6854860.849350503,651198.293086379,6862852.581235617
654773.7432486768,6854113.737069613,650456.2897649787,6863068.660097077
656991.9994699326,6854208.837223016,650876.1018054712,6862951.731934825
654870.1124818106,6852735.406958282,651547.9320896534,6862717.622710674
655202.7900736771,6853871.411907697,650705.0286748327,6862586.590385124
655444.6090424972,6852949.89142299,651992.5389526695,6862106.795223439
654039.2777658522,6855939.761703901,650737.9764182824,6863209.081157149
654638.6282777392,6856017.183496201,651409.2835879897,6862835.918281638
656360.6389814583,6854723.361599758,650822.9212290784,6863317.4101119
656500.7989110923,6856204.08308009,651510.5613711226,6862918.342934391
654141.7835863577,6853943.543217232,651529.5404927131,6862223.007358242
654595.8500901572,6855151.156576835,652089.644364276,6862875.699353815
655655.3562402378,6853049.875019197,651479.2852622388,6862548.426560989
654364.5443142389,6855645.042973664,651385.9108092547,6862340.329158858
654726.4717118657,6853508.092450213,651840.752358026,6861952.944306131
656233.8557055156,6853530.644135219,650297.7676462537,6862889.498603404
654689.7149126941,6855678.749088483,652135.9149731889,6862832.19904002
654617.3894231181,6854939.649934838,650885.9139414099,6863069.91549975
